time000000000,tempf012010000,tempf020010000,tempf114010000,tempf124010000,tempf134010000,tempf144010000,tempf117010000,tempf127010000,tempf137010000,tempf147010000,tempf202010000,tempf250010000,mflowj022010000,mflowj010010000,mflowj112010000,mflowj122010000,mflowj132010000,mflowj142010000,mflowj201000000,mflowj255000000,p010010000,p022010000,p110010000,p120010000,p130010000,p140010000,p112010000,p122010000,p132010000,p142010000,p204010000,p250010000,p218010000,p228010000,p238010000,p248010000,cntrlvar000000101,cntrlvar000000102,cntrlvar000000104,cntrlvar000000103,cntrlvar000000105,p026050000,q026010000
0.00E+00,5.58E+02,5.97E+02,5.97E+02,5.97E+02,5.97E+02,5.97E+02,5.58E+02,5.58E+02,5.58E+02,5.58E+02,3.73E+02,5.07E+02,1.01E+03,1.01E+03,2.52E+02,2.52E+02,2.51E+02,2.51E+02,8.90E+01,0.00E+00,1.55E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,3.19E+06,3.00E+06,3.00E+06,3.00E+06,3.00E+06,3.00E+06,1.40E+07,9.60E+07,7.44E+06,1.10E+08,2.98E+07,1.55E+07,0.00E+00
1.00E+00,5.58E+02,5.86E+02,5.97E+02,5.97E+02,5.97E+02,5.97E+02,5.73E+02,5.73E+02,5.73E+02,5.73E+02,3.73E+02,5.08E+02,9.72E+02,1.03E+03,2.49E+02,2.49E+02,2.49E+02,2.49E+02,8.90E+01,5.39E+01,1.55E+07,1.55E+07,1.54E+07,1.54E+07,1.54E+07,1.54E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,4.57E+06,3.06E+06,3.06E+06,3.06E+06,3.06E+06,3.06E+06,1.44E+07,9.86E+07,3.95E+07,1.13E+08,1.58E+08,1.54E+07,9.39E+02
2.00E+00,5.58E+02,5.79E+02,5.97E+02,5.97E+02,5.97E+02,5.97E+02,5.67E+02,5.67E+02,5.67E+02,5.67E+02,3.73E+02,5.09E+02,9.94E+02,1.01E+03,2.52E+02,2.52E+02,2.52E+02,2.52E+02,8.90E+01,7.31E+01,1.54E+07,1.53E+07,1.53E+07,1.53E+07,1.53E+07,1.53E+07,1.54E+07,1.54E+07,1.54E+07,1.54E+07,4.63E+06,3.11E+06,3.11E+06,3.11E+06,3.11E+06,3.11E+06,1.40E+07,9.61E+07,5.25E+07,1.10E+08,2.10E+08,1.53E+07,3.81E+04
3.00E+00,5.58E+02,5.78E+02,5.97E+02,5.97E+02,5.97E+02,5.97E+02,5.62E+02,5.62E+02,5.62E+02,5.62E+02,3.73E+02,5.09E+02,1.01E+03,1.00E+03,2.54E+02,2.54E+02,2.54E+02,2.54E+02,8.90E+01,8.38E+01,1.53E+07,1.52E+07,1.52E+07,1.52E+07,1.52E+07,1.52E+07,1.53E+07,1.53E+07,1.53E+07,1.53E+07,4.65E+06,3.14E+06,3.14E+06,3.14E+06,3.14E+06,3.14E+06,1.40E+07,9.60E+07,5.46E+07,1.10E+08,2.18E+08,1.51E+07,4.58E+06
4.00E+00,5.58E+02,5.78E+02,5.95E+02,5.95E+02,5.95E+02,5.95E+02,5.59E+02,5.59E+02,5.59E+02,5.59E+02,3.73E+02,5.09E+02,1.02E+03,1.01E+03,2.56E+02,2.56E+02,2.56E+02,2.56E+02,8.90E+01,8.49E+01,1.52E+07,1.51E+07,1.51E+07,1.51E+07,1.51E+07,1.51E+07,1.52E+07,1.52E+07,1.52E+07,1.52E+07,4.65E+06,3.14E+06,3.14E+06,3.14E+06,3.14E+06,3.14E+06,1.40E+07,9.58E+07,5.45E+07,1.10E+08,2.18E+08,1.50E+07,8.08E+06
5.00E+00,5.59E+02,5.78E+02,5.92E+02,5.92E+02,5.92E+02,5.92E+02,5.57E+02,5.57E+02,5.57E+02,5.57E+02,3.73E+02,5.09E+02,1.02E+03,1.02E+03,2.60E+02,2.60E+02,2.60E+02,2.60E+02,8.90E+01,8.58E+01,1.51E+07,1.51E+07,1.50E+07,1.50E+07,1.50E+07,1.50E+07,1.51E+07,1.51E+07,1.51E+07,1.51E+07,4.65E+06,3.14E+06,3.14E+06,3.14E+06,3.14E+06,3.14E+06,1.39E+07,9.54E+07,5.38E+07,1.09E+08,2.15E+08,1.50E+07,9.33E+06
6.00E+00,5.60E+02,5.79E+02,5.88E+02,5.88E+02,5.88E+02,5.88E+02,5.54E+02,5.54E+02,5.54E+02,5.54E+02,3.73E+02,5.09E+02,1.03E+03,1.04E+03,2.64E+02,2.64E+02,2.64E+02,2.64E+02,8.90E+01,8.37E+01,1.51E+07,1.50E+07,1.49E+07,1.49E+07,1.49E+07,1.49E+07,1.51E+07,1.51E+07,1.51E+07,1.51E+07,4.64E+06,3.13E+06,3.13E+06,3.13E+06,3.13E+06,3.13E+06,1.39E+07,9.52E+07,5.23E+07,1.09E+08,2.09E+08,1.49E+07,9.77E+06
7.00E+00,5.61E+02,5.80E+02,5.84E+02,5.84E+02,5.84E+02,5.84E+02,5.52E+02,5.52E+02,5.52E+02,5.52E+02,3.73E+02,5.09E+02,1.04E+03,1.05E+03,2.66E+02,2.66E+02,2.66E+02,2.66E+02,8.90E+01,8.01E+01,1.50E+07,1.50E+07,1.49E+07,1.49E+07,1.49E+07,1.49E+07,1.50E+07,1.50E+07,1.50E+07,1.50E+07,4.62E+06,3.12E+06,3.12E+06,3.12E+06,3.12E+06,3.12E+06,1.39E+07,9.54E+07,5.05E+07,1.09E+08,2.02E+08,1.49E+07,9.66E+06
8.00E+00,5.61E+02,5.80E+02,5.82E+02,5.82E+02,5.82E+02,5.82E+02,5.49E+02,5.49E+02,5.49E+02,5.49E+02,3.73E+02,5.09E+02,1.04E+03,1.06E+03,2.68E+02,2.68E+02,2.68E+02,2.68E+02,8.90E+01,7.94E+01,1.50E+07,1.49E+07,1.49E+07,1.49E+07,1.49E+07,1.49E+07,1.50E+07,1.50E+07,1.50E+07,1.50E+07,4.62E+06,3.11E+06,3.11E+06,3.11E+06,3.11E+06,3.11E+06,1.40E+07,9.59E+07,4.98E+07,1.10E+08,1.99E+08,1.48E+07,9.88E+06
9.00E+00,5.60E+02,5.80E+02,5.80E+02,5.80E+02,5.80E+02,5.80E+02,5.47E+02,5.47E+02,5.47E+02,5.47E+02,3.73E+02,5.09E+02,1.04E+03,1.07E+03,2.69E+02,2.69E+02,2.69E+02,2.69E+02,8.90E+01,8.08E+01,1.49E+07,1.49E+07,1.48E+07,1.48E+07,1.48E+07,1.48E+07,1.49E+07,1.49E+07,1.49E+07,1.49E+07,4.62E+06,3.12E+06,3.12E+06,3.12E+06,3.12E+06,3.12E+06,1.41E+07,9.65E+07,4.98E+07,1.11E+08,1.99E+08,1.48E+07,9.98E+06
