"time000000000","tempf012010000","tempf020010000","tempf114010000","tempf124010000","tempf134010000","tempf144010000","tempf117010000","tempf127010000","tempf137010000","tempf147010000","tempf202010000","tempf250010000","mflowj022010000","mflowj010010000","mflowj112010000","mflowj122010000","mflowj132010000","mflowj142010000","mflowj201000000","mflowj255000000","p010010000","p022010000","p110010000","p120010000","p130010000","p140010000","p112010000","p122010000","p132010000","p142010000","p204010000","p250010000","p218010000","p228010000","p238010000","p248010000","cntrlvar000000101","cntrlvar000000102","cntrlvar000000104","cntrlvar000000103","cntrlvar000000105","p026050000","q026010000"
"0.00E+0","5.58E+2","5.97E+2","5.97E+2","5.97E+2","5.97E+2","5.97E+2","5.58E+2","5.58E+2","5.58E+2","5.58E+2","3.73E+2","5.07E+2","1.01E+3","1.01E+3","2.52E+2","2.52E+2","2.51E+2","2.51E+2","8.90E+1","0.00E+0","1.55E+7","1.55E+7","1.55E+7","1.55E+7","1.55E+7","1.55E+7","1.55E+7","1.55E+7","1.55E+7","1.55E+7","3.19E+6","3.00E+6","3.00E+6","3.00E+6","3.00E+6","3.00E+6","2.24E+7","1.54E+8","7.44E+6","1.76E+8","2.98E+7","1.55E+7","0.00E+0"
"1.00E+0","5.58E+2","5.92E+2","5.97E+2","5.97E+2","5.97E+2","5.97E+2","5.72E+2","5.72E+2","5.72E+2","5.72E+2","3.73E+2","5.08E+2","9.90E+2","1.02E+3","2.46E+2","2.46E+2","2.46E+2","2.46E+2","8.90E+1","5.39E+1","1.56E+7","1.55E+7","1.55E+7","1.55E+7","1.55E+7","1.55E+7","1.56E+7","1.56E+7","1.56E+7","1.56E+7","4.57E+6","3.06E+6","3.06E+6","3.06E+6","3.06E+6","3.06E+6","2.25E+7","1.54E+8","3.91E+7","1.77E+8","1.56E+8","1.55E+7","4.94E+2"
"2.00E+0","5.58E+2","5.90E+2","5.97E+2","5.97E+2","5.97E+2","5.97E+2","5.67E+2","5.67E+2","5.67E+2","5.67E+2","3.73E+2","5.09E+2","1.00E+3","9.93E+2","2.48E+2","2.48E+2","2.48E+2","2.48E+2","8.90E+1","7.32E+1","1.56E+7","1.56E+7","1.55E+7","1.55E+7","1.55E+7","1.55E+7","1.56E+7","1.56E+7","1.56E+7","1.56E+7","4.63E+6","3.11E+6","3.11E+6","3.11E+6","3.11E+6","3.11E+6","2.24E+7","1.54E+8","5.25E+7","1.76E+8","2.10E+8","1.55E+7","1.18E+3"
"3.00E+0","5.58E+2","5.90E+2","5.97E+2","5.97E+2","5.97E+2","5.97E+2","5.62E+2","5.62E+2","5.62E+2","5.62E+2","3.73E+2","5.09E+2","1.01E+3","9.93E+2","2.52E+2","2.52E+2","2.52E+2","2.52E+2","8.90E+1","8.34E+1","1.56E+7","1.55E+7","1.55E+7","1.55E+7","1.55E+7","1.55E+7","1.56E+7","1.56E+7","1.56E+7","1.56E+7","4.65E+6","3.13E+6","3.14E+6","3.14E+6","3.14E+6","3.14E+6","2.24E+7","1.54E+8","5.44E+7","1.76E+8","2.18E+8","1.54E+7","2.87E+3"
"4.00E+0","5.58E+2","5.90E+2","5.96E+2","5.96E+2","5.96E+2","5.96E+2","5.59E+2","5.59E+2","5.59E+2","5.59E+2","3.73E+2","5.09E+2","1.01E+3","1.00E+3","2.53E+2","2.53E+2","2.53E+2","2.53E+2","8.90E+1","8.53E+1","1.55E+7","1.54E+7","1.54E+7","1.54E+7","1.54E+7","1.54E+7","1.55E+7","1.55E+7","1.55E+7","1.55E+7","4.65E+6","3.14E+6","3.14E+6","3.14E+6","3.14E+6","3.14E+6","2.24E+7","1.53E+8","5.48E+7","1.76E+8","2.19E+8","1.53E+7","4.84E+3"
"5.00E+0","5.59E+2","5.90E+2","5.95E+2","5.95E+2","5.95E+2","5.95E+2","5.58E+2","5.58E+2","5.58E+2","5.58E+2","3.73E+2","5.10E+2","1.01E+3","1.01E+3","2.55E+2","2.55E+2","2.55E+2","2.55E+2","8.90E+1","8.73E+1","1.54E+7","1.54E+7","1.53E+7","1.53E+7","1.53E+7","1.53E+7","1.54E+7","1.54E+7","1.54E+7","1.54E+7","4.65E+6","3.14E+6","3.14E+6","3.14E+6","3.14E+6","3.14E+6","2.23E+7","1.53E+8","5.47E+7","1.75E+8","2.19E+8","1.53E+7","2.00E+5"
"6.00E+0","5.60E+2","5.90E+2","5.93E+2","5.93E+2","5.93E+2","5.93E+2","5.56E+2","5.56E+2","5.56E+2","5.56E+2","3.73E+2","5.10E+2","1.02E+3","1.02E+3","2.56E+2","2.56E+2","2.56E+2","2.56E+2","8.90E+1","8.66E+1","1.54E+7","1.53E+7","1.53E+7","1.53E+7","1.53E+7","1.53E+7","1.54E+7","1.54E+7","1.54E+7","1.54E+7","4.65E+6","3.14E+6","3.14E+6","3.14E+6","3.14E+6","3.14E+6","2.23E+7","1.53E+8","5.41E+7","1.75E+8","2.16E+8","1.52E+7","5.78E+6"
"7.00E+0","5.61E+2","5.91E+2","5.92E+2","5.92E+2","5.92E+2","5.92E+2","5.55E+2","5.55E+2","5.55E+2","5.55E+2","3.73E+2","5.09E+2","1.02E+3","1.02E+3","2.58E+2","2.58E+2","2.58E+2","2.58E+2","8.90E+1","8.54E+1","1.54E+7","1.53E+7","1.53E+7","1.53E+7","1.53E+7","1.53E+7","1.54E+7","1.54E+7","1.54E+7","1.54E+7","4.64E+6","3.13E+6","3.14E+6","3.14E+6","3.14E+6","3.14E+6","2.23E+7","1.53E+8","5.34E+7","1.75E+8","2.13E+8","1.52E+7","8.47E+6"
"8.00E+0","5.61E+2","5.92E+2","5.91E+2","5.91E+2","5.91E+2","5.91E+2","5.54E+2","5.54E+2","5.54E+2","5.54E+2","3.73E+2","5.09E+2","1.02E+3","1.03E+3","2.58E+2","2.58E+2","2.58E+2","2.58E+2","8.90E+1","8.51E+1","1.54E+7","1.53E+7","1.53E+7","1.53E+7","1.53E+7","1.53E+7","1.54E+7","1.54E+7","1.54E+7","1.54E+7","4.64E+6","3.13E+6","3.13E+6","3.13E+6","3.13E+6","3.13E+6","2.24E+7","1.53E+8","5.31E+7","1.76E+8","2.12E+8","1.52E+7","9.45E+6"
"9.00E+0","5.61E+2","5.92E+2","5.90E+2","5.90E+2","5.90E+2","5.90E+2","5.53E+2","5.53E+2","5.53E+2","5.53E+2","3.73E+2","5.09E+2","1.02E+3","1.03E+3","2.59E+2","2.59E+2","2.59E+2","2.59E+2","8.90E+1","8.57E+1","1.54E+7","1.53E+7","1.53E+7","1.53E+7","1.53E+7","1.53E+7","1.54E+7","1.54E+7","1.54E+7","1.54E+7","4.64E+6","3.13E+6","3.13E+6","3.13E+6","3.13E+6","3.13E+6","2.24E+7","1.54E+8","5.32E+7","1.76E+8","2.13E+8","1.52E+7","9.80E+6"
