time000000000,tempf012010000,tempf020010000,tempf114010000,tempf124010000,tempf134010000,tempf144010000,tempf117010000,tempf127010000,tempf137010000,tempf147010000,tempf202010000,tempf250010000,mflowj022010000,mflowj010010000,mflowj112010000,mflowj122010000,mflowj132010000,mflowj142010000,mflowj201000000,mflowj255000000,p010010000,p022010000,p110010000,p120010000,p130010000,p140010000,p112010000,p122010000,p132010000,p142010000,p204010000,p250010000,p218010000,p228010000,p238010000,p248010000,cntrlvar000000101,cntrlvar000000102,cntrlvar000000104,cntrlvar000000103,cntrlvar000000105,p026050000,q026010000
0.00E+00,5.58E+02,5.97E+02,5.97E+02,5.97E+02,5.97E+02,5.97E+02,5.58E+02,5.58E+02,5.58E+02,5.58E+02,3.73E+02,5.07E+02,1.01E+03,1.01E+03,2.52E+02,2.52E+02,2.51E+02,2.51E+02,8.90E+01,0.00E+00,1.55E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,3.19E+06,3.00E+06,3.00E+06,3.00E+06,3.00E+06,3.00E+06,2.24E+07,1.54E+08,7.44E+06,1.76E+08,2.98E+07,1.55E+07,0.00E+00
1.00E+00,5.58E+02,5.92E+02,5.97E+02,5.97E+02,5.97E+02,5.97E+02,5.72E+02,5.72E+02,5.72E+02,5.72E+02,3.73E+02,5.08E+02,9.90E+02,1.02E+03,2.46E+02,2.46E+02,2.46E+02,2.46E+02,8.90E+01,5.39E+01,1.56E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,1.56E+07,1.56E+07,1.56E+07,1.56E+07,4.57E+06,3.06E+06,3.06E+06,3.06E+06,3.06E+06,3.06E+06,2.25E+07,1.54E+08,3.91E+07,1.77E+08,1.56E+08,1.55E+07,4.94E+02
2.00E+00,5.58E+02,5.90E+02,5.97E+02,5.97E+02,5.97E+02,5.97E+02,5.67E+02,5.67E+02,5.67E+02,5.67E+02,3.73E+02,5.09E+02,1.00E+03,9.93E+02,2.48E+02,2.48E+02,2.48E+02,2.48E+02,8.90E+01,7.32E+01,1.56E+07,1.56E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,1.56E+07,1.56E+07,1.56E+07,1.56E+07,4.63E+06,3.11E+06,3.11E+06,3.11E+06,3.11E+06,3.11E+06,2.24E+07,1.54E+08,5.25E+07,1.76E+08,2.10E+08,1.55E+07,1.18E+03
3.00E+00,5.58E+02,5.90E+02,5.97E+02,5.97E+02,5.97E+02,5.97E+02,5.62E+02,5.62E+02,5.62E+02,5.62E+02,3.73E+02,5.09E+02,1.01E+03,9.93E+02,2.52E+02,2.52E+02,2.52E+02,2.52E+02,8.90E+01,8.34E+01,1.56E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,1.56E+07,1.56E+07,1.56E+07,1.56E+07,4.65E+06,3.13E+06,3.14E+06,3.14E+06,3.14E+06,3.14E+06,2.24E+07,1.54E+08,5.44E+07,1.76E+08,2.18E+08,1.54E+07,2.87E+03
4.00E+00,5.58E+02,5.90E+02,5.96E+02,5.96E+02,5.96E+02,5.96E+02,5.59E+02,5.59E+02,5.59E+02,5.59E+02,3.73E+02,5.09E+02,1.01E+03,1.00E+03,2.53E+02,2.53E+02,2.53E+02,2.53E+02,8.90E+01,8.53E+01,1.55E+07,1.54E+07,1.54E+07,1.54E+07,1.54E+07,1.54E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,4.65E+06,3.14E+06,3.14E+06,3.14E+06,3.14E+06,3.14E+06,2.24E+07,1.53E+08,5.48E+07,1.76E+08,2.19E+08,1.53E+07,4.84E+03
5.00E+00,5.59E+02,5.90E+02,5.95E+02,5.95E+02,5.95E+02,5.95E+02,5.58E+02,5.58E+02,5.58E+02,5.58E+02,3.73E+02,5.10E+02,1.01E+03,1.01E+03,2.55E+02,2.55E+02,2.55E+02,2.55E+02,8.90E+01,8.73E+01,1.54E+07,1.54E+07,1.53E+07,1.53E+07,1.53E+07,1.53E+07,1.54E+07,1.54E+07,1.54E+07,1.54E+07,4.65E+06,3.14E+06,3.14E+06,3.14E+06,3.14E+06,3.14E+06,2.23E+07,1.53E+08,5.47E+07,1.75E+08,2.19E+08,1.53E+07,2.00E+05
6.00E+00,5.60E+02,5.90E+02,5.93E+02,5.93E+02,5.93E+02,5.93E+02,5.56E+02,5.56E+02,5.56E+02,5.56E+02,3.73E+02,5.10E+02,1.02E+03,1.02E+03,2.56E+02,2.56E+02,2.56E+02,2.56E+02,8.90E+01,8.66E+01,1.54E+07,1.53E+07,1.53E+07,1.53E+07,1.53E+07,1.53E+07,1.54E+07,1.54E+07,1.54E+07,1.54E+07,4.65E+06,3.14E+06,3.14E+06,3.14E+06,3.14E+06,3.14E+06,2.23E+07,1.53E+08,5.41E+07,1.75E+08,2.16E+08,1.52E+07,5.78E+06
7.00E+00,5.61E+02,5.91E+02,5.92E+02,5.92E+02,5.92E+02,5.92E+02,5.55E+02,5.55E+02,5.55E+02,5.55E+02,3.73E+02,5.09E+02,1.02E+03,1.02E+03,2.58E+02,2.58E+02,2.58E+02,2.58E+02,8.90E+01,8.54E+01,1.54E+07,1.53E+07,1.53E+07,1.53E+07,1.53E+07,1.53E+07,1.54E+07,1.54E+07,1.54E+07,1.54E+07,4.64E+06,3.13E+06,3.14E+06,3.14E+06,3.14E+06,3.14E+06,2.23E+07,1.53E+08,5.34E+07,1.75E+08,2.13E+08,1.52E+07,8.47E+06
8.00E+00,5.61E+02,5.92E+02,5.91E+02,5.91E+02,5.91E+02,5.91E+02,5.54E+02,5.54E+02,5.54E+02,5.54E+02,3.73E+02,5.09E+02,1.02E+03,1.03E+03,2.58E+02,2.58E+02,2.58E+02,2.58E+02,8.90E+01,8.51E+01,1.54E+07,1.53E+07,1.53E+07,1.53E+07,1.53E+07,1.53E+07,1.54E+07,1.54E+07,1.54E+07,1.54E+07,4.64E+06,3.13E+06,3.13E+06,3.13E+06,3.13E+06,3.13E+06,2.24E+07,1.53E+08,5.31E+07,1.76E+08,2.12E+08,1.52E+07,9.45E+06
9.00E+00,5.61E+02,5.92E+02,5.90E+02,5.90E+02,5.90E+02,5.90E+02,5.53E+02,5.53E+02,5.53E+02,5.53E+02,3.73E+02,5.09E+02,1.02E+03,1.03E+03,2.59E+02,2.59E+02,2.59E+02,2.59E+02,8.90E+01,8.57E+01,1.54E+07,1.53E+07,1.53E+07,1.53E+07,1.53E+07,1.53E+07,1.54E+07,1.54E+07,1.54E+07,1.54E+07,4.64E+06,3.13E+06,3.13E+06,3.13E+06,3.13E+06,3.13E+06,2.24E+07,1.54E+08,5.32E+07,1.76E+08,2.13E+08,1.52E+07,9.80E+06
