time000000000,tempf012010000,tempf020010000,tempf114010000,tempf124010000,tempf134010000,tempf144010000,tempf117010000,tempf127010000,tempf137010000,tempf147010000,tempf202010000,tempf250010000,mflowj022010000,mflowj010010000,mflowj112010000,mflowj122010000,mflowj132010000,mflowj142010000,mflowj201000000,mflowj255000000,p010010000,p022010000,p110010000,p120010000,p130010000,p140010000,p112010000,p122010000,p132010000,p142010000,p204010000,p250010000,p218010000,p228010000,p238010000,p248010000,cntrlvar000000101,cntrlvar000000102,cntrlvar000000104,cntrlvar000000103,cntrlvar000000105,p026050000,q026010000
0.0,558.1688,596.9468,596.5775,596.5775,596.5775,596.5775,558.1667,558.1667,558.1667,558.1667,373.15,507.0723,1006.1,1006.1,252.0,252.0,251.0,251.0,89,0.0,15533600,15517400,15499000,15499000,15499000,15499000,15518000,15518000,15518000,15518000,3190000,3004400,3000000,3000000,3000000,3000000,19040190,130560400,7443228,149600600,29772910,15488600,0.0
1.0,558.1812,589.7347,596.9783,596.9783,596.98,596.9783,572.4905,572.4905,572.4848,572.4843,373.2452,508.0096,983.103,1026.271,247.4836,247.4836,247.4767,247.4824,89,53.8884,15573200,15507150,15458870,15458870,15458870,15458870,15570400,15570400,15570400,15570400,4572019,3055514,3055872,3055872,3055866,3055870,19268570,132127200,39262770,151395800,157051100,15488290,277.3902
2.0,558.1157,585.6688,596.8918,596.8918,596.8923,596.8918,567.0483,567.0483,567.047,567.0467,373.2493,508.9523,999.3774,998.2881,249.8567,249.8567,249.8565,249.8573,89,73.1495,15532260,15466410,15417750,15417750,15417750,15417750,15528980,15528980,15528980,15528980,4630944,3107591,3108654,3108654,3108654,3108654,19052220,130643600,52484510,149695900,209938000,15397310,1671.244
3.0,558.0475,585.0961,596.6965,596.6965,596.6967,596.6965,561.6414,561.6414,561.6407,561.64,373.2507,509.4291,1007.562,996.5547,252.6071,252.6071,252.607,252.6071,89,83.55487,15465290,15399540,15350690,15350690,15350690,15350690,15461660,15461660,15461660,15461660,4652090,3134194,3135365,3135365,3135365,3135365,19048240,130615300,54475510,149663600,217902000,15281400,17702.11
4.0,558.3509,584.9928,595.7016,595.7016,595.7016,595.7016,559.257,559.257,559.2569,559.2568,373.2506,509.4705,1011.537,1005.227,254.6702,254.6702,254.6702,254.6703,89,85.1338,15367210,15301430,15252240,15252240,15252240,15252240,15363660,15363660,15363660,15363660,4650460,3136510,3137777,3137777,3137777,3137777,19008090,130339900,54682410,149348000,218729600,15198340,4010371.0
5.0,559.1786,585.1298,593.5168,593.5168,593.5168,593.5168,557.5294,557.5294,557.5292,557.5291,373.2507,509.5252,1017.418,1014.347,257.115,257.115,257.115,257.1151,89,86.70275,15305850,15239750,15189860,15189860,15189860,15189860,15302370,15302370,15302370,15302370,4651174,3139576,3140825,3140825,3140825,3140825,18952160,129956600,54359840,148908800,217439300,15144860,7894462.0
6.0,560.1732,585.6392,590.8645,590.8645,590.8645,590.8645,555.5578,555.5578,555.5577,555.5576,373.2502,509.4408,1023.299,1024.291,259.4514,259.4514,259.4514,259.4514,89,85.40085,15272900,15206380,15155820,15155820,15155820,15155820,15269480,15269480,15269480,15269480,4644249,3134844,3136054,3136054,3136054,3136054,18926980,129784100,53371970,148711100,213487900,15110400,9246640.0
7.0,560.8563,586.3859,588.5745,588.5745,588.5745,588.5745,553.6369,553.6369,553.6368,553.6368,373.2496,509.3098,1027.108,1033.869,261.3489,261.3489,261.3489,261.3489,89,83.2481,15256910,15190060,15139030,15139030,15139030,15139030,15253550,15253550,15253550,15253550,4635076,3127522,3128668,3128668,3128668,3128668,18955220,129977800,52117890,148933100,208471600,15090840,9733665.0
8.0,560.988,587.0206,587.0484,587.0484,587.0484,587.0484,552.0986,552.0986,552.0986,552.0985,373.2493,509.2552,1028.387,1041.25,262.5443,262.5443,262.5443,262.5443,89,82.72203,15238320,15171270,15119980,15119980,15119980,15119980,15234990,15234990,15234990,15234990,4631514,3124472,3125599,3125599,3125599,3125599,19021040,130429100,51762970,149450100,207051900,15071890,9792602.0
9.0,560.5295,587.2548,586.2789,586.2789,586.2789,586.2789,550.8721,550.8721,550.8721,550.872,373.2494,509.2782,1028.024,1046.294,263.1698,263.1698,263.1698,263.1698,89,83.7335,15209240,15142060,15090700,15090700,15090700,15090700,15205880,15205880,15205880,15205880,4632612,3125755,3126916,3126916,3126916,3126916,19095560,130940100,51939050,150035700,207756200,15044670,9901509.0
10.0,559.5691,586.9748,586.1006,586.1006,586.1006,586.1006,549.9713,549.9713,549.9712,549.9712,373.2497,509.33,1027.017,1049.169,263.2494,263.2494,263.2494,263.2494,89,84.95564,15165610,15098360,15047070,15047070,15047070,15047070,15162220,15162220,15162220,15162220,4636940,3128652,3129862,3129862,3129862,3129862,19160410,131384800,52663770,150545200,210655100,15002080,9987582.0
11.0,558.2518,586.2247,586.3068,586.3068,586.3068,586.3068,549.2906,549.2906,549.2906,549.2905,373.2501,509.4069,1026.139,1050.276,263.1546,263.1546,263.1546,263.1546,89,87.27525,15105240,15037940,14986790,14986790,14986790,14986790,15101760,15101760,15101760,15101760,4642901,3132948,3134152,3134152,3134152,3134152,19205790,131695900,52921770,150901700,211687100,14938400,10021800.0
12.0,556.7628,585.1249,586.663,586.663,586.663,586.663,549.1116,549.1116,549.1116,549.1116,373.2501,509.4091,1025.858,1050.506,262.6219,262.6219,262.6219,262.6219,89,87.71087,15023340,14956000,14905020,14905020,14905020,14905020,15019830,15019830,15019830,15019830,4643302,3133075,3134305,3134305,3134305,3134305,19230670,131866500,53068330,151097200,212273300,14858740,10037580.0
13.0,555.2495,583.8243,586.9399,586.9399,586.9399,586.9399,549.239,549.239,549.239,549.239,373.2504,509.4629,1026.489,1049.423,262.2417,262.2417,262.2417,262.2417,89,88.66731,14929820,14862410,14811560,14811560,14811560,14811560,14926260,14926260,14926260,14926260,4647297,3135892,3137146,3137146,3137146,3137146,19236820,131908700,53534380,151145500,214137500,14766160,10045320.0
14.0,553.8215,582.4551,586.9769,586.9769,586.9769,586.9769,549.2292,549.2292,549.2292,549.2292,373.2505,509.4749,1028.152,1048.158,262.0022,262.0022,262.0022,262.0022,89,88.9294,14828240,14760730,14709940,14709940,14709940,14709940,14824660,14824660,14824660,14824660,4648024,3136493,3137738,3137738,3137738,3137738,19230060,131862400,53581390,151092400,214325600,14665000,10049650.0
15.0,552.5626,581.1223,586.6879,586.6879,586.6879,586.6879,549.1569,549.1569,549.1569,549.1569,373.2504,509.4651,1030.689,1047.441,262.0266,262.0266,262.0266,262.0266,89,88.75229,14725420,14657760,14606940,14606940,14606940,14606940,14721820,14721820,14721820,14721820,4647295,3135926,3137164,3137164,3137164,3137164,19211380,131734300,53467990,150945600,213872000,14561880,10050500.0
16.0,551.527,579.9012,586.0717,586.0717,586.0717,586.0717,548.9164,548.9164,548.9164,548.9164,373.2503,509.4368,1033.9,1047.521,262.3244,262.3244,262.3244,262.3244,89,88.21484,14626900,14559050,14508110,14508110,14508110,14508110,14623290,14623290,14623290,14623290,4645254,3134314,3135537,3135537,3135537,3135537,19185410,131556200,53170720,150741600,212682900,14462670,10049100.0
17.0,550.7294,578.7995,585.1838,585.1838,585.1838,585.1838,548.4836,548.4836,548.4836,548.4836,373.2501,509.3943,1037.489,1048.514,262.8615,262.8615,262.8615,262.8615,89,87.42226,14535580,14467510,14416400,14416400,14416400,14416400,14531980,14531980,14531980,14531980,4642235,3131963,3133217,3133217,3133217,3133217,19155570,131351500,52882760,150507100,211531000,14370710,10044320.0
18.0,550.1461,577.9122,584.1124,584.1124,584.1124,584.1124,547.873,547.873,547.873,547.873,373.2498,509.3444,1041.169,1050.354,263.5731,263.5731,263.5731,263.5731,89,86.48458,14457010,14388720,14337390,14337390,14337390,14337390,14453420,14453420,14453420,14453420,4638278,3129116,3130288,3130288,3130288,3130288,19127250,131157400,52333580,150284600,209334300,14291200,10041310.0
19.0,549.7142,577.2308,582.947,582.947,582.947,582.947,547.1125,547.1125,547.1125,547.1125,373.2495,509.2919,1044.681,1052.827,264.3687,264.3687,264.3687,264.3687,89,85.57633,14386010,14317490,14265940,14265940,14265940,14265940,14382430,14382430,14382430,14382430,4634678,3126283,3127430,3127430,3127430,3127430,19105250,131006500,51846700,150111700,207386800,14219480,10038400.0
20.0,549.3732,576.7181,581.7729,581.7729,581.7729,581.7729,546.285,546.285,546.285,546.285,373.2493,509.2366,1047.814,1055.763,265.1689,265.1689,265.1689,265.1689,89,84.55578,14321430,14252700,14200910,14200910,14200910,14200910,14317860,14317860,14317860,14317860,4631040,3123175,3124300,3124300,3124300,3124300,19091510,130912300,51329030,150003800,205316100,14154320,10034850.0
21.0,549.0587,576.3187,580.6667,580.6667,580.6667,580.6667,545.3527,545.3527,545.3527,545.3527,373.2495,509.2837,1050.387,1058.811,266.1152,266.1152,266.1152,266.1152,89,85.55966,14263320,14194400,14142430,14142430,14142430,14142430,14259750,14259750,14259750,14259750,4633770,3125513,3126640,3126640,3126640,3126640,19086310,130876600,51553840,149962900,206215400,14096280,10032160.0
22.0,548.6559,575.8909,579.5901,579.5901,579.5901,579.5901,544.2714,544.2714,544.2714,544.2714,373.2492,509.2214,1054.347,1056.463,264.9635,264.9635,264.9635,264.9635,89,84.57219,14030090,13961120,13908780,13908780,13908780,13908780,14026690,14026690,14026690,14026690,4629876,3121469,3122572,3122572,3122572,3122572,19116830,131087700,50935510,150204500,203742000,13939320,10160510.0
23.0,548.1926,575.4896,578.5483,578.5483,578.5483,578.5483,543.426,543.426,543.426,543.426,373.2491,509.2021,1054.846,1062.797,266.6874,266.6874,266.6874,266.6874,89,84.76745,13831900,13762720,13710390,13710390,13710390,13710390,13828420,13828420,13828420,13828420,4629253,3120471,3121567,3121567,3121567,3121567,19108680,131030900,50784140,150139600,203136600,13699130,10059310.0
24.0,547.6827,575.0899,577.8762,577.8762,577.8762,577.8762,542.6542,542.6542,542.6542,542.6542,373.2491,509.1963,1055.739,1066.633,267.5844,267.5844,267.5844,267.5844,89,85.07609,13785490,13716150,13663780,13663780,13663780,13663780,13781970,13781970,13781970,13781970,4629234,3120206,3121300,3121300,3121300,3121300,19111560,131050200,50650380,150161800,202601500,13637810,9883364.0
25.0,547.0881,574.6339,577.3777,577.3777,577.3777,577.3777,542.0423,542.0423,542.0423,542.0423,373.2492,509.2016,1056.715,1069.56,268.2272,268.2272,268.2272,268.2272,89,85.35858,13786770,13717300,13664890,13664890,13664890,13664890,13783220,13783220,13783220,13783220,4629962,3120510,3121610,3121610,3121610,3121610,19119970,131107600,50669480,150227600,202677900,13626320,10006130.0
26.0,546.4042,574.0877,576.9471,576.9471,576.9471,576.9471,541.5137,541.5137,541.5137,541.5137,373.2495,509.1951,1058.077,1071.307,268.485,268.485,268.485,268.485,89,86.46307,13773420,13703830,13651360,13651360,13651360,13651360,13769840,13769840,13769840,13769840,4634676,3120852,3121946,3121946,3121946,3121946,19131460,131186300,50467560,150317800,201870300,13610830,10017880.0
27.0,545.6638,573.4612,576.5478,576.5478,576.5478,576.5478,541.193,541.193,541.193,541.193,373.2495,509.2159,1059.403,1072.762,268.6758,268.6758,268.6758,268.6758,89,87.34672,13757120,13687400,13634880,13634880,13634880,13634880,13753530,13753530,13753530,13753530,4633302,3121133,3122202,3122202,3122202,3122202,19138850,131237000,50000090,150375800,200000400,13592450,10014300.0
28.0,544.9044,572.777,576.1579,576.1579,576.1579,576.1579,540.9894,540.9894,540.9894,540.9894,373.2493,509.1778,1060.863,1073.763,268.8487,268.8487,268.8487,268.8487,89,86.54919,13745330,13675480,13622930,13622930,13622930,13622930,13741740,13741740,13741740,13741740,4631384,3119230,3120285,3120285,3120285,3120285,19141780,131257000,49781590,150398800,199126400,13580200,10009340.0
29.0,544.1618,572.0653,575.7424,575.7424,575.7424,575.7424,540.7697,540.7697,540.7697,540.7697,373.2492,509.1614,1062.502,1074.537,269.0422,269.0422,269.0422,269.0422,89,86.46265,13739450,13669480,13616870,13616870,13616870,13616870,13735860,13735860,13735860,13735860,4630562,3118347,3119390,3119390,3119390,3119390,19140550,131248600,49538710,150389200,198154800,13573990,10004810.0
30.0,543.4684,571.3567,575.2789,575.2789,575.2789,575.2789,540.5164,540.5164,540.5164,540.5164,373.2491,509.1451,1064.32,1075.31,269.2745,269.2745,269.2745,269.2745,89,86.36814,13738640,13668530,13615850,13615850,13615850,13615850,13735040,13735040,13735040,13735040,4629159,3117417,3118447,3118447,3118447,3118447,19134960,131210200,49269740,150345200,197079000,13573090,10002220.0
31.0,542.8489,570.682,574.7552,574.7552,574.7552,574.7552,540.2295,540.2295,540.2295,540.2295,373.249,509.1239,1066.272,1076.233,269.5615,269.5615,269.5615,269.5615,89,86.141,13742870,13672620,13619860,13619860,13619860,13619860,13739280,13739280,13739280,13739280,4627454,3116217,3117232,3117232,3117232,3117232,19125990,131148700,48971470,150274700,195885900,13577240,9999903.0
32.0,542.3145,570.0667,574.1728,574.1728,574.1728,574.1728,539.9032,539.9032,539.9032,539.9032,373.2489,509.0996,1068.317,1077.358,269.904,269.904,269.904,269.904,89,85.8457,13754000,13683610,13630750,13630750,13630750,13630750,13750410,13750410,13750410,13750410,4625540,3114840,3115839,3115839,3115839,3115839,19115290,131075400,48642130,150190700,194568500,13588290,9996550.0
33.0,541.8607,569.5034,573.5429,573.5429,573.5429,573.5429,539.5349,539.5349,539.5349,539.5349,373.2487,509.0727,1070.383,1078.685,270.2919,270.2919,270.2919,270.2919,89,85.50526,13772650,13702120,13649150,13649150,13649150,13649150,13769060,13769060,13769060,13769060,4623501,3113348,3114331,3114331,3114331,3114331,19104580,131001900,48298240,150106500,193193000,13606640,9992343.0
34.0,541.4705,569.0142,572.8826,572.8826,572.8826,572.8826,539.1323,539.1323,539.1323,539.1323,373.2486,509.0457,1072.423,1080.163,270.703,270.703,270.703,270.703,89,85.18173,13795620,13724950,13671860,13671860,13671860,13671860,13792040,13792040,13792040,13792040,4621430,3111843,3112809,3112809,3112809,3112809,19096100,130943800,47941460,150039900,191765900,13629330,9989920.0
35.0,541.1228,568.5913,572.2156,572.2156,572.2156,572.2156,538.7065,538.7065,538.7065,538.7065,373.2485,509.0195,1074.324,1081.768,271.1301,271.1301,271.1301,271.1301,89,84.88984,13821650,13750840,13697630,13697630,13697630,13697630,13818080,13818080,13818080,13818080,4619462,3110402,3111351,3111351,3111351,3111351,19089980,130901800,47594670,149991800,190378700,13655110,9988473.0
36.0,540.7969,568.2174,571.5688,571.5688,571.5688,571.5688,538.2689,538.2689,538.2689,538.2689,373.2484,508.9957,1076.078,1083.428,271.5515,271.5515,271.5515,271.5515,89,84.64595,13851710,13780770,13727450,13727450,13727450,13727450,13848140,13848140,13848140,13848140,4617756,3109108,3110042,3110042,3110042,3110042,19086570,130878400,47279640,149965000,189118600,13684980,9986072.0
37.0,540.4755,567.8735,570.9651,570.9651,570.9651,570.9651,537.83,537.83,537.83,537.83,373.2483,508.9762,1077.663,1085.075,271.9552,271.9552,271.9552,271.9552,89,84.47764,13886400,13815340,13761920,13761920,13761920,13761920,13882840,13882840,13882840,13882840,4616350,3108068,3108991,3108991,3108991,3108991,19085470,130870900,47021720,149956400,188086900,13719520,9983256.0
38.0,540.1459,567.5416,570.4174,570.4174,570.4174,570.4174,537.3943,537.3943,537.3943,537.3943,373.2482,508.9633,1079.098,1086.648,272.3372,272.3372,272.3372,272.3372,89,84.41131,13923990,13852810,13799310,13799310,13799310,13799310,13920430,13920430,13920430,13920430,4615388,3107420,3108336,3108336,3108336,3108336,19086270,130876400,46858490,149962700,187434000,13756930,9979920.0
39.0,539.7953,567.2078,569.9282,569.9282,569.9282,569.9282,536.9382,536.9382,536.9382,536.9382,373.2481,508.9523,1080.465,1088.079,272.6715,272.6715,272.6715,272.6715,89,84.04636,13961970,13890680,13837100,13837100,13837100,13837100,13958400,13958400,13958400,13958400,4614071,3106450,3107357,3107357,3107357,3107357,19088480,130891600,46708130,149980100,186832500,13795040,9980372.0
40.0,539.4218,566.8618,569.4765,569.4765,569.4765,569.4765,536.5203,536.5203,536.5203,536.5203,373.2481,508.9506,1081.676,1089.562,272.9937,272.9937,272.9937,272.9937,89,84.57214,13998380,13926990,13873340,13873340,13873340,13873340,13994810,13994810,13994810,13994810,4614442,3106948,3107859,3107859,3107859,3107859,19090610,130906200,46736310,149996800,186945200,13831500,9980711.0
41.0,539.0297,566.4998,569.0685,569.0685,569.0685,569.0685,536.1089,536.1089,536.1089,536.1089,373.2482,508.9803,1082.835,1090.844,273.3523,273.3523,273.3523,273.3523,89,84.56251,14032180,13960700,13906990,13906990,13906990,13906990,14028600,14028600,14028600,14028600,4614886,3107639,3108553,3108553,3108553,3108553,19092860,130921500,46858760,150014400,187435100,13863140,9982996.0
42.0,538.621,566.1213,568.6972,568.6972,568.6972,568.6972,535.6417,535.6417,535.6417,535.6417,373.248,508.9299,1083.971,1092.15,273.5432,273.5432,273.5432,273.5432,89,84.18332,14061810,13990240,13936470,13936470,13936470,13936470,14058230,14058230,14058230,14058230,4612370,3105522,3106416,3106416,3106416,3106416,19094950,130935900,46394720,150030900,185578900,13893540,9984083.0
43.0,538.2026,565.7297,568.3378,568.3378,568.3378,568.3378,535.4494,535.4494,535.4494,535.4494,373.248,508.9225,1085.104,1093.343,273.7366,273.7366,273.7366,273.7366,89,84.63655,14097030,14025370,13971550,13971550,13971550,13971550,14093460,14093460,14093460,14093460,4612037,3105191,3106074,3106074,3106074,3106074,19096230,130944600,46130610,150040900,184522400,13929140,9982170.0
44.0,537.7787,565.3281,567.9839,567.9839,567.9839,567.9839,535.2759,535.2759,535.2759,535.2759,373.248,508.9243,1086.282,1094.249,273.9136,273.9136,273.9136,273.9136,89,85.65386,14138700,14066950,14013080,14013080,14013080,14013080,14135140,14135140,14135140,14135140,4612494,3105482,3106354,3106354,3106354,3106354,19097220,130951500,45846910,150048700,183387600,13970760,9978983.0
45.0,537.3546,564.9184,567.6226,567.6226,567.6226,567.6226,535.1076,535.1076,535.1076,535.1076,373.248,508.9306,1087.501,1094.996,274.0901,274.0901,274.0901,274.0901,89,86.28703,14180030,14108180,14054250,14054250,14054250,14054250,14176470,14176470,14176470,14176470,4612187,3105586,3106448,3106448,3106448,3106448,19097500,130953400,45606720,150050900,182426900,14011840,9978281.0
46.0,536.9425,564.5041,567.2457,567.2457,567.2457,567.2457,534.9123,534.9123,534.9123,534.9123,373.2479,508.911,1088.763,1095.671,274.2649,274.2649,274.2649,274.2649,89,85.87384,14214980,14143030,14089040,14089040,14089040,14089040,14211420,14211420,14211420,14211420,4610553,3104386,3105237,3105237,3105237,3105237,19096400,130945800,45360950,150042200,181443800,14046580,9981094.0
47.0,536.5593,564.0981,566.8547,566.8547,566.8547,566.8547,534.7034,534.7034,534.7034,534.7034,373.2477,508.8842,1089.995,1096.459,274.4778,274.4778,274.4778,274.4778,89,85.21267,14248370,14176330,14122280,14122280,14122280,14122280,14244810,14244810,14244810,14244810,4608552,3102866,3103704,3103704,3103704,3103704,19092610,130919900,45109720,150012500,180438900,14079530,9982457.0
