time000000000,tempf012010000,tempf020010000,tempf114010000,tempf124010000,tempf134010000,tempf144010000,tempf117010000,tempf127010000,tempf137010000,tempf147010000,tempf202010000,tempf250010000,mflowj022010000,mflowj010010000,mflowj112010000,mflowj122010000,mflowj132010000,mflowj142010000,mflowj201000000,mflowj255000000,p010010000,p022010000,p110010000,p120010000,p130010000,p140010000,p112010000,p122010000,p132010000,p142010000,p204010000,p250010000,p218010000,p228010000,p238010000,p248010000,cntrlvar000000101,cntrlvar000000102,cntrlvar000000104,cntrlvar000000103,cntrlvar000000105,p026050000,q026010000
0,558.1688,596.9468,596.5775,596.5775,596.5775,596.5775,558.1667,558.1667,558.1667,558.1667,373.15,507.0723,1006.1,1006.1,252.0,252.0,251.0,251.0,89,0.0,15533600,15517400,15499000,15499000,15499000,15499000,15518000,15518000,15518000,15518000,3190000,3004400,3000000,3000000,3000000,3000000,14000140,96000300,7443228,110000400,29772910,15488600,0.0
1,558.1697,585.6316,596.8923,596.8923,596.894,596.8923,572.6191,572.6191,572.6021,572.6011,373.2452,508.0113,972.4977,1034.172,249.3643,249.3643,249.3603,249.3629,89,53.92168,15540740,15474160,15426630,15426630,15426630,15426630,15537930,15537930,15537930,15537930,4572343,3055605,3055962,3055962,3055956,3055956,14374430,98567000,39464100,112941400,157856400,15406510,938.8475
2,558.0699,579.2232,596.7923,596.7923,596.7927,596.7923,567.0697,567.0697,567.0706,567.0698,373.2493,508.9492,993.9691,1006.101,251.9849,251.9849,251.985,251.9856,89,73.08904,15404260,15338040,15290410,15290410,15290410,15290410,15401220,15401220,15401220,15401220,4630773,3107418,3108480,3108480,3108479,3108479,14011170,96076050,52455780,110087200,209823100,15268740,38105.45
3,557.9935,578.2011,596.5361,596.5361,596.5362,596.5361,561.7734,561.7734,561.7715,561.7708,373.2508,509.4451,1007.732,1002.379,254.2859,254.2859,254.2859,254.286,89,83.83383,15298640,15232590,15184560,15184560,15184560,15184560,15295270,15295270,15295270,15295270,4653215,3135087,3136264,3136264,3136264,3136264,14006190,96041530,54623280,110047700,218493100,15134720,4583524.0
4,558.3164,578.0346,595.0827,595.0827,595.0827,595.0827,559.2239,559.2239,559.2241,559.2241,373.2506,509.4594,1015.83,1010.494,256.4376,256.4376,256.4377,256.4378,89,84.94721,15191410,15125240,15076480,15076480,15076480,15076480,15188050,15188050,15188050,15188050,4649664,3135890,3137148,3137148,3137148,3137148,13968880,95785780,54529130,109754700,218116500,15035090,8083566.0
5,559.1747,578.175,591.8409,591.8409,591.8409,591.8409,557.1209,557.1209,557.1205,557.1203,373.2504,509.4734,1024.484,1021.898,259.9576,259.9576,259.9577,259.9578,89,85.798,15117760,15051070,15001280,15001280,15001280,15001280,15114460,15114460,15114460,15114460,4647561,3136670,3137892,3137892,3137892,3137892,13909090,95375880,53834770,109285000,215339100,14959280,9329552.0
6,560.1924,578.7154,587.7433,587.7433,587.7433,587.7433,554.3877,554.3877,554.3875,554.3875,373.2497,509.3414,1032.966,1035.466,263.5667,263.5667,263.5668,263.5668,89,83.66547,15066320,14998960,14948220,14948220,14948220,14948220,15063140,15063140,15063140,15063140,4637317,3129287,3130428,3130428,3130428,3130428,13882810,95195780,52300660,109078600,209202700,14903720,9773456.0
7,560.8702,579.5043,584.1324,584.1324,584.1324,584.1324,551.596,551.596,551.5959,551.5959,373.2487,509.1341,1038.78,1048.428,266.2754,266.2754,266.2755,266.2755,89,80.0718,15030070,14962180,14910760,14910760,14910760,14910760,15026980,15026980,15026980,15026980,4623230,3117712,3118770,3118770,3118770,3118770,13914550,95413450,50459950,109328000,201839800,14865540,9664775.0
8,560.9403,580.1579,581.6849,581.6849,581.6849,581.6849,549.1446,549.1446,549.1445,549.1445,373.2484,509.0579,1041.323,1059.043,268.166,268.166,268.166,268.1661,89,79.3575,14993080,14924860,14873070,14873070,14873070,14873070,14990020,14990020,14990020,14990020,4618626,3113470,3114500,3114500,3114500,3114500,13988200,95918470,49797980,109906700,199191900,14828190,9875226.0
9,560.3278,580.348,580.3587,580.3587,580.3587,580.3587,546.8378,546.8378,546.8377,546.8376,373.2485,509.0918,1041.487,1066.862,269.3957,269.3957,269.3957,269.3957,89,80.84721,14942240,14873840,14821930,14821930,14821930,14821930,14939170,14939170,14939170,14939170,4619654,3115358,3116342,3116342,3116342,3116342,14075330,96515900,49803710,110591200,199214800,14777700,9983994.0
